ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010000406;clavus;;"641 / 1171  (début époque islamique)";"E 26625; AC 659; PH 2105; PH 2035";"Département des Antiquités égyptiennes";;"non exposé";
cl010000407;clavus;;"641 / 1171  (début époque islamique)";"E 26626; AC 660; PH 2106; I 25";"Département des Antiquités égyptiennes";;"non exposé";
cl010000408;clavus;;"641 / 1171  (début époque islamique)";"E 26628; AC 662; PH 2108; I 27";"Département des Antiquités égyptiennes";;"non exposé";
cl010000409;orbiculus;;"395 / 641  (époque byzantine)";"E 26629; AC 663; PH 2431; F 93";"Département des Antiquités égyptiennes";;"non exposé";
cl010000410;clavus;;"641 / 1171  (début époque islamique)";"E 26630; AC 664; PH 2110; I 28";"Département des Antiquités égyptiennes";;"non exposé";
cl010000411;clavus;;"641 / 1171  (début époque islamique)";"E 26631; AC 665; PH 2111; I 29";"Département des Antiquités égyptiennes";;"non exposé";
cl010000412;orbiculus;;"395 / 641  (époque byzantine)";"E 26632; AC 666; PH 2429; E 152";"Département des Antiquités égyptiennes";;"non exposé";
cl010000413;clavus;;"641 / 1171  (début époque islamique)";"E 26633; AC 667; PH 2113; I 34";"Département des Antiquités égyptiennes";;"non exposé";
cl010000414;clavus;;"641 / 1171  (début époque islamique)";"E 26634; AC 668; PH 2114; I 32";"Département des Antiquités égyptiennes";;"non exposé";
cl010000415;clavus;;"395 / 641  (époque byzantine)";"E 26635; AC 669; PH 2384; F 69";"Département des Antiquités égyptiennes";;"non exposé";
cl010000416;clavus;;"395 / 641  (époque byzantine)";"E 26636; AC 670; PH 2116; I 117";"Département des Antiquités égyptiennes";;"non exposé";
cl010000417;clavus;;"395 / 641  (époque byzantine)";"E 26637; AC 671; PH 2442; G 29";"Département des Antiquités égyptiennes";;"non exposé";
cl010000418;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26638; PH 2445; G 379";"Département des Antiquités égyptiennes";;"non exposé";
cl010000419;clavus;;"395 / 641  (époque byzantine)";"E 26639; AC 673; PH 2416; G 27";"Département des Antiquités égyptiennes";;"non exposé";
cl010000420;clavus;;"395 / 641  (époque byzantine)";"E 26640; AC 674; PH 2415; F 65";"Département des Antiquités égyptiennes";;"non exposé";
cl010000421;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26641; AC 675; PH 2444; G 318";"Département des Antiquités égyptiennes";;"non exposé";
cl010000422;clavus;;"641 / 1171  (début époque islamique)";"E 26642; AC 676; PH 2122; I 33";"Département des Antiquités égyptiennes";;"non exposé";
cl010000423;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26643; AC 677; PH 2418; G 4";"Département des Antiquités égyptiennes";;"non exposé";
cl010000424;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26644; AC 678; PH 2124; I 119";"Département des Antiquités égyptiennes";;"non exposé";
cl010000425;orbiculus;;"395 / 641  (époque byzantine)";"E 26645; AC 679; PH 2428; F 96";"Département des Antiquités égyptiennes";;"non exposé";
cl010000426;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26646; AC 680; PH 2126; I 35";"Département des Antiquités égyptiennes";;"non exposé";
cl010000427;clavus;;"395 / 641  (époque byzantine)";"E 26647; AC 681; PH 2127; I 36";"Département des Antiquités égyptiennes";;"non exposé";
cl010000428;clavus;;"641 / 1171  (début époque islamique)";"E 26648; PH 2128; I 37; AC 682";"Département des Antiquités égyptiennes";;"non exposé";
cl010000429;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26649; AC 683; PH 2129; I 38";"Département des Antiquités égyptiennes";;"non exposé";
cl010000430;clavus;;"641 / 1171  (début époque islamique)";"E 26650; AC 684; PH 2130; I 39";"Département des Antiquités égyptiennes";;"non exposé";
cl010000431;"clavus ; tabula";;"641 / 1171  (début époque islamique)";"E 26651; AC 685; PH 2131; I 24";"Département des Antiquités égyptiennes";;"non exposé";
cl010000432;clavus;;"641 / 1171  (début époque islamique)";"E 26652; AC 686; PH 2132; I 40";"Département des Antiquités égyptiennes";;"non exposé";
cl010000433;"clavus ; tabula";;"641 / 1171  (début époque islamique)";"E 26653; I 41; AC 687; PH 2133";"Département des Antiquités égyptiennes";;"non exposé";
cl010000434;orbiculus;;"395 / 641  (époque byzantine)";"E 26654; AC 688; PH 2435; G 360";"Département des Antiquités égyptiennes";;"non exposé";
cl010000435;"manche d'habit ; bande de poignet";;"641 / 1171  (début époque islamique)";"E 26655; AC 689; PH 2135; I 42";"Département des Antiquités égyptiennes";;"non exposé";
cl010000436;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26656; AC 690; PH 2136; I 44";"Département des Antiquités égyptiennes";;"non exposé";
cl010000437;orbiculus;;"395 / 641  (époque byzantine)";"E 26657; AC 691; F 94; PH 2432";"Département des Antiquités égyptiennes";;"non exposé";
cl010000438;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26658; AC 692; PH 2451; F 6";"Département des Antiquités égyptiennes";;"non exposé";
cl010000439;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26659; G 7; AC 693; PH 2448";"Département des Antiquités égyptiennes";;"non exposé";
cl010000440;"manche d'habit ; bande de poignet";;"641 / 1171  (début époque islamique)";"E 26660; AC 694; PH 2140; I 45";"Département des Antiquités égyptiennes";;"non exposé";
cl010000441;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26661; I 46; AC 695; PH 2141";"Département des Antiquités égyptiennes";;"non exposé";
cl010000442;"bande de poignet";;"641 / 1171  (début époque islamique)";"E 26662; AC 696; PH 2142; I 48";"Département des Antiquités égyptiennes";;"non exposé";
cl010000443;"bande de poignet";;"641 / 1171  (début époque islamique)";"E 26663; AC 697; PH 2143; I 47";"Département des Antiquités égyptiennes";;"non exposé";
cl010000444;"plastron de tunique";;"641 / 1171  (début époque islamique)";"E 26665; AC 699; PH 2145; I 17";"Département des Antiquités égyptiennes";;"non exposé";
cl010000445;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26667; AC 701; PH 2147; I 51";"Département des Antiquités égyptiennes";;"non exposé";
cl010000446;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26668; AC 702; PH 2148; I 52";"Département des Antiquités égyptiennes";;"non exposé";
cl010000447;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26669; AC 703; PH 2149; I 53";"Département des Antiquités égyptiennes";;"non exposé";
cl010000448;clavus;;"641 / 1171  (début époque islamique)";"E 26672; AC 706; PH 2152; I 54";"Département des Antiquités égyptiennes";;"non exposé";
cl010000449;clavus;;"641 / 1171  (début époque islamique)";"E 26673; AC 707; PH 2153; I 55";"Département des Antiquités égyptiennes";;"non exposé";
cl010000450;clavus;;"641 / 1171  (début époque islamique)";"E 26674; AC 708; PH 2154; I 56";"Département des Antiquités égyptiennes";;"non exposé";
cl010000451;clavus;;"641 / 1171  (début époque islamique)";"E 26675; AC 709; PH 2155; PH 2089; I 57";"Département des Antiquités égyptiennes";;"non exposé";
cl010000452;clavus;;"641 / 1171  (début époque islamique)";"E 26676; AC 710; PH 2156; I 64";"Département des Antiquités égyptiennes";;"non exposé";
cl010000453;clavus;;"641 / 1171  (début époque islamique)";"E 26677; AC 711; PH 2157; I 65";"Département des Antiquités égyptiennes";;"non exposé";
cl010000454;clavus;;"641 / 1171  (début époque islamique)";"E 26678; AC 712; PH 2158; I 66";"Département des Antiquités égyptiennes";;"non exposé";
cl010000455;clavus;;"641 / 1171  (début époque islamique)";"E 26679; AC 713; PH 2159; I 67";"Département des Antiquités égyptiennes";;"non exposé";
cl010000456;clavus;;"641 / 1171  (début époque islamique)";"E 26680; AC 714; PH 2160; i 68";"Département des Antiquités égyptiennes";;"non exposé";
cl010000457;clavus;;"641 / 1171  (début époque islamique)";"E 26681; AC 715; PH 2161; I 69";"Département des Antiquités égyptiennes";;"non exposé";
cl010000458;clavus;;"641 / 1171  (début époque islamique)";"E 26682; AC 716; PH 2162; I 70";"Département des Antiquités égyptiennes";;"non exposé";
cl010000459;clavus;;"641 / 1171  (début époque islamique)";"E 26683; AC 717; PH 2163; I 71";"Département des Antiquités égyptiennes";;"non exposé";
cl010000460;tabula;;"641 / 1171  (début époque islamique)";"E 26684; AC 718; PH 2164; I 74";"Département des Antiquités égyptiennes";;"non exposé";
cl010000461;tabula;;"641 / 1171  (début époque islamique)";"E 26686; AC 720; PH 2166; I 77";"Département des Antiquités égyptiennes";;"non exposé";
cl010000462;tabula;;"641 / 1171  (début époque islamique)";"E 26687; PH 2167; I 78; AC 721";"Département des Antiquités égyptiennes";;"non exposé";
cl010000463;tabula;;"641 / 1171  (début époque islamique)";"E 26688; AC 722; PH 2168; I 80";"Département des Antiquités égyptiennes";;"non exposé";
cl010000464;tabula;;"641 / 1171  (début époque islamique)";"E 26689; AC 723; PH 2169; I 81";"Département des Antiquités égyptiennes";;"non exposé";
cl010000465;tabula;;"641 / 1171  (début époque islamique)";"E 26690; AC 724; PH 2170; I 82";"Département des Antiquités égyptiennes";;"non exposé";
cl010000466;tabula;;"641 / 1171  (début époque islamique)";"E 26691; AC 725; PH 2171; I 83";"Département des Antiquités égyptiennes";;"non exposé";
cl010000467;tabula;;"641 / 1171  (début époque islamique)";"E 26693; AC 727; PH 2173; I 84";"Département des Antiquités égyptiennes";;"non exposé";
cl010000468;tabula;;"641 / 1171  (début époque islamique)";"E 26694; AC 728; PH 2174; I 85";"Département des Antiquités égyptiennes";;"non exposé";
cl010000469;tabula;;"641 / 1171  (début époque islamique)";"E 26695; AC 729; PH 2175; I 86";"Département des Antiquités égyptiennes";;"non exposé";
cl010000470;tabula;;"641 / 1171  (début époque islamique)";"E 26696; AC 730; PH 2176; I 88";"Département des Antiquités égyptiennes";;"non exposé";
cl010000471;tabula;;"641 / 1171  (début époque islamique)";"E 26697; AC 731; PH 2177; I 89";"Département des Antiquités égyptiennes";;"non exposé";
cl010000472;"tunique ; tabula";;"395 / 641  (époque byzantine)";"E 26698; AC 732; PH 2178; I 90";"Département des Antiquités égyptiennes";;"non exposé";
cl010000473;tabula;;"641 / 1171  (début époque islamique)";"E 26699; AC 733; PH 2179; I 91";"Département des Antiquités égyptiennes";;"non exposé";
cl010000474;orbiculus;;"395 / 641  (époque byzantine)";"E 26700; AC 734; PH 2180; I 92";"Département des Antiquités égyptiennes";;"non exposé";
cl010000475;clavus;;"641 / 1171  (début époque islamique)";"E 26701; AC 735; PH 2181; I 31";"Département des Antiquités égyptiennes";;"non exposé";
cl010000476;"tunique ; tabula";;"395 / 641  (époque byzantine)";"E 26702; AC 736; PH 2182; I 93";"Département des Antiquités égyptiennes";;"non exposé";
cl010000477;tabula;;"641 / 1171  (début époque islamique)";"E 26703; AC 737; PH 2183; I 94";"Département des Antiquités égyptiennes";;"non exposé";
cl010000478;tabula;;"641 / 1171  (début époque islamique)";"E 26704; AC 738; PH 2184; I 95; PH 2124";"Département des Antiquités égyptiennes";;"non exposé";
cl010000479;tabula;;"641 / 1171  (début époque islamique)";"E 26706; AC 740; PH 2186; I 97";"Département des Antiquités égyptiennes";;"non exposé";
cl010000480;tabula;;"641 / 1171  (début époque islamique)";"E 26707; AC 741; PH 2187; I 98";"Département des Antiquités égyptiennes";;"non exposé";
cl010000481;orbiculus;;"395 / 641  (époque byzantine)";"E 26708; AC 742; PH 2188; I 99";"Département des Antiquités égyptiennes";;"non exposé";
cl010000482;tabula;;"641 / 1171  (début époque islamique)";"E 26710; AC 744; PH 2190; I 100";"Département des Antiquités égyptiennes";;"non exposé";
cl010000483;tabula;;"641 / 1171  (début époque islamique)";"E 26711; AC 745; PH 2191; I 101";"Département des Antiquités égyptiennes";;"non exposé";
cl010000484;tabula;;"641 / 1171  (début époque islamique)";"E 26712; AC 746; PH 2192; I 102";"Département des Antiquités égyptiennes";;"non exposé";
cl010000485;tabula;;"641 / 1171  (début époque islamique)";"E 26713; AC 747; PH 2193; I 103; PH 2124";"Département des Antiquités égyptiennes";;"non exposé";
cl010000486;tabula;;"641 / 1171  (début époque islamique)";"E 26714; AC 748; PH 2194; I 104";"Département des Antiquités égyptiennes";;"non exposé";
cl010000487;tabula;;"641 / 1171  (début époque islamique)";"E 26715; AC 749; PH 2195; I 105";"Département des Antiquités égyptiennes";;"non exposé";
cl010000488;tabula;;"641 / 1171  (début époque islamique)";"E 26716; AC 750; PH 2196; I 106";"Département des Antiquités égyptiennes";;"non exposé";
cl010000489;tabula;;"641 / 1171  (début époque islamique)";"E 26718; AC 752; PH 2198; I 107";"Département des Antiquités égyptiennes";;"non exposé";
cl010000490;orbiculus;;"395 / 641  (époque byzantine)";"E 26720; AC 754; PH 2201";"Département des Antiquités égyptiennes";;"non exposé";
cl010000491;tabula;;"641 / 1171  (début époque islamique)";"E 26721; AC 755; PH 2202; I 108";"Département des Antiquités égyptiennes";;"non exposé";
cl010000492;orbiculus;;"395 / 641  (époque byzantine)";"E 26722; AC 756; PH 2203; I 109";"Département des Antiquités égyptiennes";;"non exposé";
cl010000493;"bande décorative d'habillement";;"641 / 1171  (début époque islamique)";"E 26723";"Département des Antiquités égyptiennes";;"non exposé";
cl010000494;clavus;;"641 / 1171  (début époque islamique)";"E 26724; AC 758; PH 2207; I 111";"Département des Antiquités égyptiennes";;"non exposé";
cl010000495;"décor de textile";;"395 / 641  (époque byzantine)";"E 26730; AC 764; PH 2227; I 113";"Département des Antiquités égyptiennes";;"non exposé";
cl010000496;orbiculus;;"641 / 1171  (début époque islamique)";"E 26732; AC 766; PH 2231; I 114";"Département des Antiquités égyptiennes";;"non exposé";
cl010000497;orbiculus;;"641 / 1171  (début époque islamique)";"E 26733; AC 767; PH 2232; I 115";"Département des Antiquités égyptiennes";;"non exposé";
cl010000498;"tunique ; orbiculus";;"395 / 641  (époque byzantine)";"E 26734; AC 768; PH 2237; I 116";"Département des Antiquités égyptiennes";;"non exposé";
cl010000499;"tunique ; clavus ; orbiculus";;"395 / 641  (époque byzantine)";"E 26739; PH 2304; AC 773; F 75";"Département des Antiquités égyptiennes";;"non exposé";
cl010000500;"tunique ; clavus";;"395 / 641  (époque byzantine)";"E 26740; PH 2351; AC 774; G 134";"Département des Antiquités égyptiennes";;"non exposé";
cl010000501;clavus;;"395 / 641  (époque byzantine)";"E 26741; AC 775; PH 2353; G 135";"Département des Antiquités égyptiennes";;"non exposé";
cl010000502;clavus;;"395 / 641  (époque byzantine)";"E 26742; AC 776; PH 2358; G 285";"Département des Antiquités égyptiennes";;"non exposé";
cl010000503;clavus;;"395 / 641  (époque byzantine)";"E 26745; AC 779; PH 2361; G 354";"Département des Antiquités égyptiennes";;"non exposé";
cl010000504;clavus;;"395 / 641  (époque byzantine)";"E 26746; AC 780; PH 2363; G 355";"Département des Antiquités égyptiennes";;"non exposé";
cl010000505;orbiculus;;"395 / 641  (époque byzantine)";"E 26750; AC 784; PH 2373; F 160";"Département des Antiquités égyptiennes";;"non exposé";
cl010000506;clavus;;"395 / 641  (époque byzantine)";"E 26751; AC 785; PH 2375; F 66";"Département des Antiquités égyptiennes";;"non exposé";
cl010000507;clavus;;"395 / 641  (époque byzantine)";"E 26752; AC 786; PH 2377; G 296";"Département des Antiquités égyptiennes";;"non exposé";
cl010000508;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26753; AC 787; PH 2453; G 26";"Département des Antiquités égyptiennes";;"non exposé";
cl010000509;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26754; AC 788; PH 2454; F 70";"Département des Antiquités égyptiennes";;"non exposé";
cl010000510;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26755; AC 789; PH 2470; F 129";"Département des Antiquités égyptiennes";;"non exposé";
cl010000511;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26756; AC 790; PH 2473; F 130";"Département des Antiquités égyptiennes";;"non exposé";
cl010000512;clavus;;"395 / 641  (époque byzantine)";"E 26757; AC 791; PH 2475; F 9";"Département des Antiquités égyptiennes";;"non exposé";
cl010000513;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26758; AC 792; PH 2478; F 3";"Département des Antiquités égyptiennes";;"non exposé";
cl010000514;tabula;;"395 / 641  (époque byzantine)";"E 26759; AC 793; PH 2479; F 123";"Département des Antiquités égyptiennes";;"non exposé";
cl010000515;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26762; AC 796; PH 2484; F 185";"Département des Antiquités égyptiennes";;"non exposé";
cl010000516;"décor de textile";;"395 / 641  (époque byzantine)";"E 26763; AC 797; PH 2488; E 101";"Département des Antiquités égyptiennes";;"non exposé";
cl010000517;clavus;;"395 / 641  (époque byzantine)";"E 26765; AC 799; PH 2491; F 161";"Département des Antiquités égyptiennes";;"non exposé";
cl010000518;orbiculus;;"395 / 641  (époque byzantine)";"E 26766; AC 800; PH 2492; F 156";"Département des Antiquités égyptiennes";;"non exposé";
cl010000519;orbiculus;;"395 / 641  (époque byzantine)";"E 26767; AC 801; PH 2493; F 157";"Département des Antiquités égyptiennes";;"non exposé";
cl010000520;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26770; AC 804; PH 2513; F 158";"Département des Antiquités égyptiennes";;"non exposé";
cl010000521;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26771; AC 805; PH 2514; G 132";"Département des Antiquités égyptiennes";;"non exposé";
cl010000522;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26772; AC 806; PH 2523; G 11";"Département des Antiquités égyptiennes";;"non exposé";
cl010000523;orbiculus;;"395 / 641  (époque byzantine)";"E 26773; AC 807; PH 2529; F 72";"Département des Antiquités égyptiennes";;"non exposé";
cl010000524;orbiculus;;"395 / 641  (époque byzantine)";"E 26774; AC 808; PH 2530; F 74";"Département des Antiquités égyptiennes";;"non exposé";
cl010000525;orbiculus;;"395 / 641  (époque byzantine)";"E 26775; AC 809; PH 2531; F 71";"Département des Antiquités égyptiennes";;"non exposé";
cl010000526;orbiculus;;"395 / 641  (époque byzantine)";"E 26776; AC 810; PH 2538; F 79";"Département des Antiquités égyptiennes";;"non exposé";
cl010000527;tabula;;"641 / 1171  (début époque islamique)";"E 26777; AC 811; PH 2539; F 80";"Département des Antiquités égyptiennes";;"non exposé";
cl010000528;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26778; AC 812; PH 2541; F 81";"Département des Antiquités égyptiennes";;"non exposé";
cl010000529;tabula;;"395 / 641  (époque byzantine)";"E 26779; AC 813; PH 2543; G 36";"Département des Antiquités égyptiennes";;"non exposé";
cl010000530;tabula;;"395 / 641  (époque byzantine)";"E 26780; AC 814; PH 2544; G 37";"Département des Antiquités égyptiennes";;"non exposé";
cl010000531;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26781; AC 815; PH 2545; G 35";"Département des Antiquités égyptiennes";;"non exposé";
cl010000532;clavus;;"395 / 641  (époque byzantine)";"E 26783; AC 817; PH 2554; F 87";"Département des Antiquités égyptiennes";;"non exposé";
cl010000533;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26784; AC 818; PH 2556; F 88";"Département des Antiquités égyptiennes";;"non exposé";
cl010000534;orbiculus;;"395 / 641  (époque byzantine)";"E 26785; AC 819; PH 2557; F 89";"Département des Antiquités égyptiennes";;"non exposé";
cl010000535;"textile d'ameublement";;"395 / 641  (époque byzantine)";"E 26786; AC 820; PH 2563; F 82";"Département des Antiquités égyptiennes";;"non exposé";
cl010000536;tabula;;"395 / 641  (époque byzantine)";"E 26787; AC 821; PH 2555; F 83";"Département des Antiquités égyptiennes";;"non exposé";
cl010000537;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26788; AC 822; PH 2566; F 84";"Département des Antiquités égyptiennes";;"non exposé";
cl010000538;clavus;;"641 / 1171  (début époque islamique)";"E 26789; AC 823; PH 2569; F 86";"Département des Antiquités égyptiennes";;"non exposé";
cl010000539;tenture;;"395 / 641  (époque byzantine)";"E 26795; AC 829; L 4; PH 2606";"Département des Antiquités égyptiennes";;"non exposé";
cl010000540;capuche;;"900 / 1099  (époque islamique)";"E 26799; AC 833; L 9";"Département des Antiquités égyptiennes";;"non exposé";
cl010000541;"manche d'habit ; bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26800; AC 834; PH 2708; F 67";"Département des Antiquités égyptiennes";;"non exposé";
cl010000542;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26802; AC 836; PH 2715; F 105";"Département des Antiquités égyptiennes";;"non exposé";
cl010000543;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26804; AC 838; PH 2719; F 106";"Département des Antiquités égyptiennes";;"non exposé";
cl010000544;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26805; AC 839; PH 2721; F 107";"Département des Antiquités égyptiennes";;"non exposé";
cl010000545;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26809; AC 843; PH 2730; F 112";"Département des Antiquités égyptiennes";;"non exposé";
cl010000546;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26810; AC 844; PH 2735; F 113";"Département des Antiquités égyptiennes";;"non exposé";
cl010000547;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26811; F 114; AC 845; PH 2737";"Département des Antiquités égyptiennes";;"non exposé";
cl010000548;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26814; AC 848; PH 2745; F 119";"Département des Antiquités égyptiennes";;"non exposé";
cl010000551;"moulage ; arc";;"1750 / 1950  (époque moderne)";"E 26827 a; AC 934";"Département des Antiquités égyptiennes";;"non exposé";
cl010000552;orbiculus;;"395 / 641  (époque byzantine)";"E 29008; Guimet 936";"Département des Antiquités égyptiennes";;"non exposé";
cl010000553;tabula;;"395 / 641  (époque byzantine)";"E 29009; Guimet 937";"Département des Antiquités égyptiennes";;"non exposé";
cl010000560;orbiculus;;"395 / 641  (époque byzantine)";"E 29016; Guimet 944";"Département des Antiquités égyptiennes";;"non exposé";
cl010000565;orbiculus;;"395 / 641  (époque byzantine)";"E 29021; Guimet 949";"Département des Antiquités égyptiennes";;"non exposé";
cl010000566;"bande d'encolure";;"395 / 641  (époque byzantine)";"E 29022; Guimet 950";"Département des Antiquités égyptiennes";;"non exposé";
cl010000567;"bande de poignet";;"395 / 641  (époque byzantine)";"E 29033; Guimet 961";"Département des Antiquités égyptiennes";;"non exposé";
cl010000568;orbiculus;;"395 / 641  (époque byzantine)";"E 29036; Guimet 964";"Département des Antiquités égyptiennes";;"non exposé";
cl010000569;tabula;;"395 / 641  (époque byzantine)";"E 29037; Guimet 965";"Département des Antiquités égyptiennes";;"non exposé";
cl010000570;orbiculus;;"395 / 641  (époque byzantine)";"E 29038; Guimet 966";"Département des Antiquités égyptiennes";;"non exposé";
cl010000571;"décor de textile";;"395 / 641  (époque byzantine)";"E 29039; Guimet 967";"Département des Antiquités égyptiennes";;"non exposé";
cl010000572;clavus;;"395 / 641  (époque byzantine)";"E 29040; Guimet 968";"Département des Antiquités égyptiennes";;"non exposé";
cl010000573;orbiculus;;"395 / 641  (époque byzantine)";"E 29041; Guimet 969";"Département des Antiquités égyptiennes";;"non exposé";
cl010000574;tabula;;"395 / 641  (époque byzantine)";"E 29042; Guimet 970";"Département des Antiquités égyptiennes";;"non exposé";
cl010000575;tabula;;"395 / 641  (époque byzantine)";"E 29043; Guimet 971";"Département des Antiquités égyptiennes";;"non exposé";
cl010000576;tabula;;"395 / 641  (époque byzantine)";"E 29044; Guimet 972";"Département des Antiquités égyptiennes";;"non exposé";
cl010000577;clavus;;"395 / 641  (époque byzantine)";"E 29045; Guimet 973";"Département des Antiquités égyptiennes";;"non exposé";
cl010000578;clavus;;"395 / 641  (époque byzantine)";"E 29047; Guimet 975";"Département des Antiquités égyptiennes";;"non exposé";
cl010000579;tabula;;"395 / 641  (époque byzantine)";"E 29058; Guimet 986";"Département des Antiquités égyptiennes";;"non exposé";
cl010000580;orbiculus;;"395 / 641  (époque byzantine)";"E 29059; Guimet 987";"Département des Antiquités égyptiennes";;"non exposé";
cl010000581;clavus;;"395 / 641  (époque byzantine)";"E 29061; Guimet 989";"Département des Antiquités égyptiennes";;"non exposé";
cl010000582;tabula;;"395 / 641  (époque byzantine)";"E 29062; Guimet 990";"Département des Antiquités égyptiennes";;"non exposé";
cl010000583;"décor de textile";;"395 / 641  (époque byzantine)";"E 29063; Guimet 991";"Département des Antiquités égyptiennes";;"non exposé";
cl010000585;tabula;;"395 / 641  (époque byzantine)";"E 29075; Guimet 1003";"Département des Antiquités égyptiennes";;"non exposé";
cl010000609;clavus;;"395 / 641  (époque byzantine)";"E 29109; Guimet 1037";"Département des Antiquités égyptiennes";;"non exposé";
cl010000610;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 29110; Guimet 1038";"Département des Antiquités égyptiennes";;"non exposé";
cl010000630;"bande d'encolure";;"395 / 641  (époque byzantine)";"E 29145; Guimet 1073";"Département des Antiquités égyptiennes";;"non exposé";
cl010000637;"décor de textile";;"395 / 641  (époque byzantine)";"E 29152; Guimet 1080";"Département des Antiquités égyptiennes";;"non exposé";
cl010000662;écharpe;;"395 / 641  (époque byzantine)";"E 29191; Guimet 1119";"Département des Antiquités égyptiennes";;"non exposé";
cl010000664;"tissu ; fragments";;"395 / 641  (époque byzantine)";"E 29194; Guimet 1122";"Département des Antiquités égyptiennes";;"non exposé";
cl010000666;"clochette ; crotale";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1141";"Département des Antiquités égyptiennes";;"non exposé";
cl010000676;"lampe ovale allongée à canal";;"395 / 641  (époque byzantine)";"E 29989";"Département des Antiquités égyptiennes";;"non exposé";
cl010000677;"lampe ovale allongée à canal";;"395 / 641  (époque byzantine)";"AF 1263";"Département des Antiquités égyptiennes";;"non exposé";
cl010000678;"lampe ovale allongée à canal";;"395 / 641  (époque byzantine)";"AF 1515";"Département des Antiquités égyptiennes";;"non exposé";
cl010000679;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 22488; MG 4989";"Département des Antiquités égyptiennes";;"non exposé";
cl010000680;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1522";"Département des Antiquités égyptiennes";;"non exposé";
cl010000681;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1516";"Département des Antiquités égyptiennes";;"non exposé";
cl010000683;"lampe théière";;"395 / 641  (époque byzantine)";"AF 5120";"Département des Antiquités égyptiennes";;"non exposé";
cl010000685;lampe;;"395 / 641  (époque byzantine)";"AF 1261";"Département des Antiquités égyptiennes";;"non exposé";
cl010000687;"lampe ovale allongée à canal";;"395 / 641  (époque byzantine)";"AF 1508";"Département des Antiquités égyptiennes";;"non exposé";
cl010000688;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"AF 1525";"Département des Antiquités égyptiennes";;"non exposé";
cl010000689;"lampe ovale";;"395 / 641  (époque byzantine)";"E 15447";"Département des Antiquités égyptiennes";;"non exposé";
cl010000690;"panneau décoratif";;"1171 / 1510  (Ayyoubides ; Mamlouks)";"E 14285; X 5505";"Département des Antiquités égyptiennes";;"non exposé";
cl010000692;"flacon cylindrique";;"800 / 999  (début époque islamique)";"AF 1212";"Département des Antiquités égyptiennes";;"non exposé";
cl010000695;"flacon poisson";;"975 / 1125 (?)  (début époque islamique [?])";"AF 1215";"Département des Antiquités égyptiennes";;"non exposé";
cl010000701;"vase ; aryballe";;"395 / 641 (?)  (époque byzantine [?])";"AF 1472";"Département des Antiquités égyptiennes";;"non exposé";
cl010000703;vase;;"395 / 641  (époque byzantine)";"M. 3431";"Département des Antiquités égyptiennes";;"non exposé";
